Tanggapan,L_Layanan,L_Fasilitas
-,0,1
"TOLONG TELKOM UNIVERSITY JANGAN CUMAN LUARNYA SAJA YANG DIPERCANTIK, DALAMNYA JUGA DONG",1,1
perbanyak kelas esap supaya lebih kondusif,0,0
Sudah baik,1,1
sangat bagus di tingkatkan lagi,1,1
sudah baik,0,0
Sudah baik hanya saja jadwal yang harus sangat di sesuaikan,0,0
baik,0,0
Bagus,0,0
baik,0,0
Mempermudah akses informasi dan pelayanan,0,0
tidak ada,1,1
pada pusat bahasa mereka tidak sopan santun ketika kami menanya sesuatu,0,0
"pusat bahasa, masih belum terlalalu dikenal ataupun diketahui oleh sebagian mahasiswa",0,0
sudah baik,0,0
tingkatkan kinerjanya,0,0
Ditingkatkan lagi layanan Pusat Bahasa,0,0
Baik,0,0
n,0,1
luamayan baik,1,1
,1,1
sudah memadai,0,0
ok,0,0
Tingkatkan mutu,0,0
Sudah bagus,1,1
Layanan Pusat Bahasa sudah cukup membantu mahasiswa untuk belajar bahasa asing dengan cukup baik dalam menyediakan segala fasilitas dan pembimbing berpengalaman. Pertahankan saja.,0,0
Sudah baik.,0,0
"Sekarang pusat bahasa sudah bagus, dibanding dulu pada saat saya semester 1 dimana kita harus rebutan sana sini untuk mengikuti kegiatan esap",0,0
tidak pelit koneksi internet,0,0
baik,0,0
tambahin senyum dong kalau lagi ngelayanin mahasiswa,0,0
fasilitas untuk kegiatan bahasa di perkenalkan atau diperbaharui,0,0
layanan akademiknya lebih ditonjolkan lagi dalam proses melayani,0,0
baik,0,0
bagus,1,1
sudah baik,0,0
"sudah baik, perlu ditingkatkan",0,0
sudah baik,0,0
sudahbaik,1,1
sudah baik,0,0
Tidak ada,1,1
Baik,0,0
Lebih mengefektifkan kegiatan ESAP,0,1
aaaa,0,0
Sudah bagus,0,0
lebih baik,0,0
seharusnya melakukan sosialisasii lagi yang lebih fokus,0,0
sangat puas,0,0
lebih baik lagi,0,0
Baik,0,0
untuk kedepannya bisa lebih baik lagi,1,1
sudah baik,0,0
berikan layanan secara online,0,0
,0,0
diinformasikan lebih awal mengenai kegiatan kepada seluruh mahasiswa supaya ada persiapan terlebi dahulu,1,1
sangat bagus,0,0
sudah baik,1,1
cukup,1,1
sudah bagus,0,0
lebih ramah terhadap mahasiswa,0,0
Tidak ada,1,0
lanjutkan,0,0
pelayanan kurang memenuhi baik dr segi fasilitas dan kualitas . supaya ditingkatkan lagi,0,0
sudah baik,1,1
Baik,0,0
semoga lebih baik,0,0
Supaya lebih baik lagi,0,0
puas,0,0
bisa daftar via online,0,0
sudah baik. hanya perlu ditingkatkan lagi agar lebih baik.,0,0
Belum pernah,0,0
ok,0,0
Tempat buat minum kopi di perpustakaan harus selalu diganti tiap pagi siang dan sore,0,0
good,1,1
terima kasih,0,0
semoga lebih baik kedepannya. lebih mementingkan pelayanan agar lebih baik juga.,0,0
sudah baik,0,0
bagus,1,1
Sudah bagus,0,0
Saya belum ke pusat bahasa,0,0
enak,1,1
Tidak ada.,1,1
sudah bagus,0,0
baik,1,1
Bagus,1,1
Bahasa yang baik akan memudahkan jalanmu,0,1
Tidak,0,0
semangat,1,1
_,0,0
semoga bisa lebih ditingkatkan,0,0
baik,1,1
bagus,0,0
diperbaik kembali,0,0
"Saya tidak bisa memberi saran, karena saya hanya mengikuti selama 1 semester saja",0,1
-,0,0
kurang baik,0,0
Jangan berhenti mencari yang lebih baik,0,0
"program bimbingan bahasa asing setara bimbingan English First,",0,0
-,0,0
lebih diperbaiki,0,0
Sudah cukup baik,1,1
Dalam bidang layanan Pusat Bahasa sudah baik dan fasilitasnya pun sangat baik. Saya puas dengan pelayanannya,0,0
Lebih baik lagi,1,1
sudah bagus,1,0
-,0,0
media layanan yang kurang sehingga info tidak tersebar dengan baik,0,0
Semangat,1,1
Sudah baik,1,0
Cukup baik,0,0
lebih baik lagi,0,0
ya,0,0
Sudah baik,0,0
sarannya agar lebih dimumkan mengenai adanya kegiatan tambahan berbayar seperti les bahasa agar semua masyaratkat kampus mengetahuinya,0,0
sudah sesuai,0,0
Sangat buruk,0,0
lebih meningktakan kualitas internet,0,0
Sudah mantap,0,0
sudah baik,0,0
lebih di tingkatkan,0,0
lebih dipelihara fasilitasnya,0,0
berharap menjadi universitas yg dikenal nusantara bahkan dunia,0,0
baik,1,1
Alhamdulilah baik,1,1
-,1,1
semoga lebih baik.Amin,1,1
,1,1
tidak ada,1,1
sudah cukup baik,1,1
Y,0,0
-,0,0
baik,0,0
sudah cukup,0,0
HAHAHAHAHAHA,0,0
semoga ada layanan pelatihan bahasa menyeluruh kepada mahasiswa/i tanpa pungutan biaya dilihat dari bagian tujuan tel-u yang ingin memiliki standart internasional paka perlu untuk memberikan fasilitas kami untuk belajar bahasa inggris secara gratis,0,0
semoga lebih baik kedepannya,0,1
lebih baik lagi,0,0
lebih di tingkatkan,0,0
di perbaiki lebih baik lagi,0,0
Semakin berkembang,0,0
"pusat bahasa..customer servicenya kadang gk ramah,...",0,1
,0,0
,0,0
Pelayanan baik,0,0
Good job,0,0
sudah cukup baik,0,0
Sdh baik,0,0
"Cukup baik, tingkatkan kembali fitur-fitur nya. kalau bisa tambahkan layanan TOEFL.",1,1
sudah baik,1,1
Lebih baik lagi,1,1
belum pernah make,0,0
cukup baik,0,0
biaya kursus dimurahin dan esap lbh dijelasin dongg,0,0
Tidak ada,0,0
-,0,0
sudah baik tapi semoga bisa jauh lebih baik lagi,1,1
sudah bagus,0,0
,0,0
,0,0
Tingkatkan lagi,0,0
haris lebih aktif lagi,0,0
tingkatkan lagi,1,1
.....,1,1
baik,0,0
...,1,1
"sama halnya dengan layanan kemahasiswaan, hingga saat ini fasilitas yang diberikan sudah sangat memadai, sehingga cukup dipertahankan dan dijaga fasilitas yang diberikan oleh telkom",1,1
Bagus,0,0
lebih ditingkatkan lagi,0,0
Baik,0,0
-,0,1
-,1,1
Halo,0,0
pusat bahasa sudah baik,0,0
"Sudah cukup bagus, tingkatkan lagi",1,1
lebih ditingkatkan,1,1
sangat memuaskan,1,1
kurang koordinasi sepertinya,0,0
Tingkatkan,1,1
tidak ada,0,0
Bagus,0,1
,0,0
Semoga informasinya bisa lebih luas,0,0
lebih baik lagi,0,0
sudah baik,1,0
pertahankan,0,0
lebih ditingkatkan,0,0
lebih ditingkatkan lagi,0,0
"Suasana ne Nek lc terlalu peteng Tulung, undang wong printer sing iso ngusir dedemit sing Nek Kono, Ben luweh Padang meneh aurane",0,0
biasa saja,0,0
semoga lebih baik kedepannya,1,1
Bagus,0,0
"layanan di pusat bahasa sudah cukup lengkap, namun harga yang telah ditentukan untuk mengikuti kursus sedikit terlalu mahal",0,0
baik,0,0
bagus,0,0
cukup baik,1,1
"Pusat Bahasa sudah dapat melayani dengan baik. Ruangan terasa cukup nyaman dalam menunjang kegiatan akademik (ESAP, ePRT, ECCT, courses, dsb.). Cukup dirawat fasilitasnya dengan baik tentunya oleh mahasiswa dan staffnya.",0,0
tidak ada,0,0
evaluasi mana yang belum efektif,0,0
Saya tidak tahu,1,1
cukup memuaskan,0,0
-,0,0
tingkatkan,0,0
Bagus,0,0
good,1,1
lebih ramah terhadap mahasiswanya,0,0
Cukup,0,0
"broadcasting aja lagi, agak kurang terdengar",0,0
-,0,0
Cukup baik,1,1
Tidak ada,0,0
ditingkatkan,0,0
Cukup baik,0,1
sudah bagus,0,0
.,0,0
-,0,0
Perbaiki,0,0
Tidak ada,1,1
tidak ada,0,0
no comment,0,1
Sudah baik,0,0
tingkatkan lagi,0,1
good,0,0
Ok,0,0
Semoga lebih banyak informasi mengenai Pusat Bahasa.,0,0
Sudah bagus,0,0
"pelayannya cukup baik, sebaiknya kedepannya bisa lebih baik lagi",1,1
baik,0,0
Bagusss,1,1
Mohon ditingkatkan lagi,0,1
cukup memuaskan,0,0
mahal,1,1
"Sudah Bagus, dan sangat ramah orangnya",1,1
waktu yang lebih efisien,1,0
sudah baik,0,0
Pertahankan,0,0
kurang terkoordinir,1,1
puas,0,0
ditingkatkan,0,0
bagus,1,0
lebih efektif lagi,0,0
tingkatkan lagi pelayanannya,0,0
sudah sangat bagus,0,0
lebih di tingkatkan kembali,0,0
Dipermudah,0,0
Lebih ditambah lagi fasilitasnya,0,0
Lanjutkan,0,0
-,0,0
Sebaiknya lebih mempermudah yang menjadi keperluan utama mahasiswa/i tingkat akhir,0,0
pusat bahasa sudah baik,0,0
lanjutkan,0,0
"saya hanya mengikuti sekali dan menurut saya sudah cukup baik, mungkin masalah perlengkapan dan peralatan pendukung harus diperbaiki seperti headset",0,0
Sudah baik.,0,0
cukup baik,0,0
Cukup,1,1
sudah cukup baik,0,0
sudah baik,0,0
cukup baik,0,0
No comment,0,0
Semoga kedepannya lebih baik lagi,1,1
good,0,0
tidak ada,0,0
Tidak mengikuti nya,1,1
-,0,0
sangat cukup puas,0,0
Layanan pusat bahasa di Telkom University sudah baik.,0,0
sebaiknya ditingkatkan,0,0
tidak ada saran,0,0
sudah baik,0,0
,0,0
Tidak ada saran,0,0
Lebih ditingkatkan,0,0
baik,0,0
Sudah cukup baik,0,0
informasinya diperjelas,0,0
pusat bahasa juga sudah cukup bagus. alhamdulillah,1,1
puas,0,0
cukup bagus,0,0
terimakasih sudah bagus,1,1
belum tau,0,0
sudah sangat bagus,0,0
lebih baik lagi ya,0,0
tidak ada saran,0,0
bagus,0,0
Ok,1,1
bidang layanan pusat bahasa sudah sangat memuaskan,0,0
awesome,0,0
Terus tingkatkan pelayanan seprima mungkin,1,1
-,1,1
sudah lumayan bagus,0,0
seharusnya pembelajaran di kelas bahasa lebih interaktif,0,0
-,0,0
sudah bagus,0,0
Keren,0,1
Cukup baik,0,1
nice,0,0
lebih di tingkatkan,0,0
sudah bagus,0,0
bagus,0,0
"perbaiki lagi, masih sangat buruk",0,0
cukup bagus tingkatkan,1,1
good,1,0
baik,0,0
,0,1
terima kasih,0,0
"layani secara ramah,",0,0
tolong lebih ramah,0,0
sudah bagus,0,0
,0,0
ebih baik,1,1
cukup baik,1,1
hebat,0,0
Lebih meningkatkan pelayanan pusat bahasa untuk kedepannya.,0,0
udah cukup,0,0
sudah cukup baik,1,1
Baiknya menggunakan standar ielts atau toefl daripada ecct dan eprt,1,1
lebih baik lagi,0,0
cukup,0,0
layanan pusat bahasa lumayan lah..,0,0
-,0,0
Makin berpotensi ke arah yang lebih baik,0,0
masih bisa di kembangkan lagi,0,1
Diperbagus lagi,0,0
Tidak ada,0,0
:),0,0
layanan di pusat bahasa sudah bagus dan fasilitasnya nyaman,0,0
Kurang memuaskan,0,0
semoga bisa lebih baik harus banyak yang harus diperbaiki,0,0
Baik,0,1
lebih baik lagi,0,0
mantap,0,0
tidak ada,0,1
cukup baik,1,1
Pelatihan ENglsh dong,0,1
a,1,1
tidak ada saran,0,0
layanan pusat bahasa untuk mahasiswa sudah lumayan bagus,1,1
lumayanlaa,0,0
pas,0,0
Baguss,0,0
"Sudah baik , semoga mengenai harga layanan bahasa bisa lebih dimurahkan dan bukan tambah mahal dengan pelayanan yang sama.",1,1
hmmm,0,0
bagus,0,1
Lebih cepat memberi informasi bila sudah menanyakan,0,1
"Cukup baik, lebih meningkatkan sistem layanannya",0,0
proses disarankan agar dipercepat,1,1
ditingkatkan,0,0
SUDAH BAGUS,1,0
baikl. tingkatkan lagi.,0,0
Lebih baik lagi,0,0
ok,1,0
layanan akademik cukup bagus dalam kinerja nya.,1,1
Kurangnya penjelasan mengenai fitur-fitur yang ada dalam layanan pusat bahasa,0,0
sudah baik,0,0
menggunakan pengajar native,1,1
Lebih baik dan responsif lagi kedepannya,1,1
sudah baik,0,0
"Modul yang diberikan terlalu mudah, jika universitas menuntut mahasiswa untuk dapat berbahasa inggris mungkin lebih disetarakan dengan bahasa inggris yang lebih advance. Karena menurut saya, apa yang pusat bahasa coba ajarkan itu tidak membantu jika membaca modul/text book dari luar, karena buku tsb menggunakan tata bahasa yang lebih tinggi, sedangkan pusat bahasa hanya mengajarkan materi bahasa yang diperuntukan untuk anak SD.",0,0
Sudah baik,0,0
perbagus fasilitas agar belajar efektif,0,0
lanjutkan,0,1
B aja,1,0
perbaiki fasilitas bahasa sehingga menarik minat mahasiswa,0,0
Perbaiki,0,0
tidak ada keluhan,0,0
Baik,0,0
Info mengenai apaoun harus sampai kpd seluruh fakultas,0,0
tidak begitu tau layanan pusat bahasa,0,0
Bagus,0,0
Layanan pusat bahasa sudah baik dan memberikab respon yang cepat dan tanggap,1,1
Sudah bagus,1,1
lebih bagus lagi,0,1
"Layanan pusat bahasa sudah memiliki fasilitas yang lengkap, hanya saja masih banyak pertimbangan yang dipikirkan mahasiswa untuk mengikuti layanan pusat bahasa. hal-hal yang dipertimbangkan adalah biaya(karena website LaC tidak mencantumkan biaya, dan mempersulit mahasiswa mengira dan meminta izin terkait pembiayaan kepada orang tua), dan pesismisme (pemikiran bahwa belajar bahasa asing itu sulit). LaC harus bisa menumbuhkan bakat dan minat mahasiswa untuk belajar bahasa asing.",0,0
GKU PAKEIN AC!!!!!!,0,0
-,0,1
Ngga ada makasih lah,1,1
Cukup,1,1
keep up the good work,0,0
-,1,1
lebih baik lagi,0,0
Tidak ada,0,0
lebih ditingkatkan kembali sarana dan prasarana,1,1
semoga lebih baik lagi kedepannya,0,0
adakan sejenis les atau kursus bahasa inggris yang di dukung oleh kampus agar mahasiswa lebih pandai berbahasa inggris,1,1
baik,1,1
Layanan pusat bahasa sudah cukup bagus,0,0
pelayanannya di percepat,1,1
gatau,0,0
baik dan lebih di tingkatkan lagi,0,0
lumayan bagus,0,0
lebih ditingkatkan lagi,0,0
Layanan pusat bahasa sudah baik,0,0
tidak ada,0,1
ditingkatkan kembali,1,1
Tidak ada,0,0
lebih ditingkatkan,0,0
pertahankan dan tingkatkan,0,0
-,1,1
semoga lebih baik lagi kedepannya,0,0
sudah cukup baik,0,0
tidak ada saran/masukan,0,0
Cukup baik.,0,0
cukup,0,0
semoga lebih baik,0,0
"sebaiknya Lac/les bahasa inggris di telkom university melakukan sosialisasi, agar mahasiswa/i mengetahui maksud dan tujuan kita mengikuti les bahasa inggris tersebut.",0,0
Tingkatkan,1,1
disini kita bisa mendapatkan kebutuhan bahasa asing jika bahasa asing anda kurang,1,1
sudah bagus,0,0
tidak ada saran,0,0
Lebih diperbaiki,0,0
Sudah angat baik,0,1
Baik,0,1
tidak ada,0,0
good servis,1,1
dipertahankan lebih lanjut kinerjanya,0,1
terus tingkatkan lagi,0,0
sudah bagus,0,0
semoga bisa lebih baik lagi dalam pelayanan,0,1
Lebih di tingkatkan lagi cara mengajarnya sehingga bisa di mengerti/dipahami,1,1
bagus,1,0
sudah baik,0,0
baik,0,0
"lebih jelas lagi mengenai penyampaian informasi apapun, apalagi yang sangat penting bagi mahasiswa/i",0,0
sudah cukup baik namun kurang terasa gerakan dalam memajukan kemampuan bahasa asing mahasiswa,0,0
cukup baik,0,0
saya tidak ikut layanan bahsa,1,1
untuk layanannya tinggal ditingkatkan lagii dari segi pelayanan atau keramahannya,0,0
sudah cukup baik,1,1
Tidak ada,0,1
lebih bagus  aja layanan pusat bahasa,0,0
tolong yang konsisten dg jadwal,0,0
"fasilitas tes eprt calus untuk mahasiswa tingkat akhir jika dimungkinkan mohon untuk diberikan tidak hanya kepada 600 orang, tapi untuk seluruh mahasiswa",0,0
cukup baik,0,0
bagus,0,1
sangat bagus,0,0
Dipertahankan,0,0
NOPE,0,0
Lebih ditingkatkan lagi,0,0
Tidak ada,1,1
di tingkatkan lagi jika masih ada yang kurang,0,0
kurangnya penyebaran info ke seluruh jurusan,0,0
semoga lebih baik,0,0
bagus,0,0
memuaskan,0,0
cukup baik,0,0
sulit dan ribet untuk proses tes eprt lagi,0,0
"tidak ada masukan, sudah baik",0,0
Bagus,0,0
-,1,1
Bagus,0,0
tingkatkan agar menjadi lebih baik,1,1
sudah baik,0,0
lebih baik lagi,0,0
sempurna,0,1
sudah bagus. pertahankan,1,1
lanjutkan,0,0
implementasi sudah baik,0,0
tidak ada saran dan masukan,0,0
jadi yang terbaik,0,1
belum tau apa yg harus ditingkatkan,0,0
ditingkatkan lagi,0,0
sudah sesuai,0,0
tetap ditingkatkan lagi,0,0
sudah baik,0,0
sangat baik,0,0
Kurang mengayomi terhadap yang tidak telalu mahir,0,0
"maksimalkan esap tutor dan helper, jangan sampai akses untuk esap susah dan terlalu pajang antrian",0,1
Juara!,1,1
cukup aku sih yess cukup baik,0,0
menjadi lebih baik lagi,0,0
"Untuk Pusat Bahasa kalau bisa layanan diberikan lebih setimbang dengan harga yang telah ditetapkan, menurut saya terlalu mahal.",0,0
no comment,0,0
Belum mencoba layanan pusat bahasa,0,0
lebih baik dari sebelumnya,1,1
Sudah bagus,0,0
baik,1,1
good,0,0
sudah baik,0,0
tingkatkan lagi dalam bidang layanan pusat bahsa,0,0
perbanyak waktu pertemuan dan lebih spesifik dalam teori,0,0
bagus,1,1
cukup baik dan cukup puas,0,0
baik,0,0
sudah lebih baik,1,1
-,0,0
permudah buat yang berjuang dengan TA,1,0
gatau,0,1
"sudah cukup baik, namun ahrus ditingkatkan",0,0
sudah cukup baik,1,1
Layanan dalam bidang Pusat Bahasa cukup bagus,1,1
Sudah cukup baik,1,1
Ntapp,0,0
di tingkatkan lagi,0,0
Cukup Baik,0,0
bahasa bagus,0,0
semoga kedepannya bisa di permudah dalam layanan pusatbahasa yang ada di telkom ini,0,0
-,0,0
Semoga speakernya lebih bagus,1,1
Tolong perbaiki layanannya lagi,0,0
Bagus,0,0
"sudah cukup, tolong tingkatkan lagi",1,1
di perbaiki lagi,0,0
bagus sekali ditingkatkan lagi,0,0
Pertahankan,0,0
pelayanannya lebih baik dan raamah,0,0
diperbaiki,0,0
,0,0
-,0,0
q,0,0
the lecturer in international class must have skill to speak in english fluently!,0,0
semoga lebih baik lagi,0,0
LUMAYAN,0,0
Mudahkan untuk mahasiswa yg ingin lulus,1,0
bagus,0,0
,0,1
baik,1,1
No comment,0,0
"perfect, no comment",1,1
sudah baiik,0,0
-,0,0
lanjutkan,1,1
saya belum ada tawaran les ke pusat bahasa jadi saya belum tahu,0,0
,0,0
baik,0,1
fasilitasnya lebih diperhatikan,1,1
sudah cukup baik,0,1
tingkatkan pusat bahasa hingga mampu tes TOEFL;,0,0
lebih empromosikan kemabali untuk class english agar semua mahasiswa/i dapat memiliki kemampuan lebih dalam bahasa internasional degan mengikuti class english.,0,0
great,0,0
Perbaiki dan tingkatkan,0,0
-,0,1
makin baik,0,0
lebih ditingkatkan,0,1
-,1,1
cukup,0,0
"lebih menghargai pertanyaan mahasiwa saja, sesuaikan dengan harganya",0,0
sudah baik ditingkatkan lagi,0,0
Lebih diperbanyak bahasa yang dipelajari,0,0
Bagus pertahanlan,1,1
SUDAH BAGUS LEBIH DI TINGKATKAN,1,1
-,0,0
"dalam sarana di language center sudah bagus selama saya berkunjung ke sana,pertahankan dan berusaha lebih baik dari sekarang.",1,0
Pelayanan pembayaran masih merepotkan,0,0
saya belum mengetahui pusat bahasa itu apa,0,0
lebih dimudahkan untuk mengikuti ESAP dan lain-lain,1,0
Lebih ditingkatkan lagi.,0,0
tidak ada,0,0
baik,0,0
tidak ada,1,1
-,0,0
Harus di tingkatkan,1,1
"Saran saya, semoga layanannya di tingkatkan lagi menjadi lebih baik.",0,0
Secara keseluruhan cukup baik,0,0
ruang perpustakaan yang besar tetapi terlihat kecil,0,0
more improving,1,1
baik,0,0
kursi di banyakin agar bisa menampung semua mahasiswa,0,0
baik,1,1
Sudah bagus.,0,0
Ok,0,0
lebih di tingkatkan lagi,0,0
Tidak ada.,0,0
lebih ditingkatkan kembali,0,0
.,0,0
ya bagus,1,1
Saran saya seharusnya saat melakukan bimbingan disesuaikan dengan jadwal mahasiswa agar bimbingan tidak tersia-sia kan,0,0
Agar proses lebih dipermudah dan dipercapat,0,0
Baik,0,0
Baik,0,0
silahkan belajar dari kesalahan dan memperbikinya. perbanyak bahasa pengantar yang lain,0,1
Tidak ada.,1,1
"Nyaman, indah, rapih, dan sejuk",0,0
tidak ada,1,1
sudah bagus,1,0
Biasa aja,0,0
semoga lebih baik,0,0
"waktu pelaksanaan esap VIP ngaret, tidak nyaman. lebih baik kalo tepat waktu",0,1
sudah bagus,0,0
mantap,0,0
-,0,0
tidak ada,1,1
Jangan terlalu mahal,0,0
ditingkatkan lagi,0,0
cukup,1,1
ditingkatkan,0,0
pusat bahasa juga fasiilitasnya sudah memadai sedikit,0,0
mantap,0,0
semoga lebih baik,1,1
kemudahan akses terkait biaya,0,0
Menjadi lebih baik lagi,0,0
Bisa lebih lengkap dan jelas lagi,0,0
upgrade the service,0,0
tingkatkan lagi !!!,1,1
tidak ada saran,0,0
"layanan pusat bahasa sudah baik, mohon dipertahankan dan ditingkatkan kembali.",0,0
good,1,1
tidak ada saran dan masukan,0,0
Nope,0,0
baik,0,0
kurang informasi,0,0
sudah bagus,0,0
.,0,0
Good,1,0
selama ini masih baik,0,0
ditingkatkan,1,1
bagus,0,1
sudah bagus,1,1
di perbaik lagi,0,1
:),0,0
bagus,0,0
cukup,1,1
,0,0
-,0,1
-,0,0
"lebih baik ruangan dan tempat tunggu di fasilitasi dengan baik dan di perluas, karena saat mahasiswa yang datang lebih dari 30 orang, ruang tersebut sangat sempit",1,1
-,0,0
HOhnob,0,0
"test toefl lagi setaiap masa berlaku habis, dan terlalu mahal pendaftarannya",0,0
Menyediakan layanan tes bahasa yang diakui secara Internasional,0,0
Semestinya layanan tidak perlu dikenakan biaya kembali,1,1
Good,0,0
Lebih baik,1,1
Kedepannya lebih baik lagi,0,0
Tidak ada. Sudah cukup,1,1
lebih ramah lagi ya,0,0
bagus,0,0
Lebih baik lagi,1,1
sudah cukup baik,0,0
"sudah baik , mantap. Terimaksih :)",0,0
sudah cukup baik,1,1
.,0,0
Tingkatkan,0,0
Sundah sangat baik,1,1
Tolong informasinya sering diupdate.,0,1
cukup baik,1,1
lebih di tingkatkan,1,0
Baik,0,0
saran saya lebih perluas untuk ruangan menunggu dan perluas layanannya`,0,0
"sudah bagus, lebih ditingkatkan",1,1
sangat baik,0,0
sudah baik dan semakin ditingkatkan,1,1
harus kebersihan,0,0
-,0,1
sudah baik,0,0
informasi diperluas,0,0
tolong lebih baik hati,0,0
di tingkatkan lagi,1,1
infrastruktur lebih diupgrade lagi agar belajar mengajar lbh maksimal,1,1
tidak ada,0,0
saya rasa cukup puas,0,0
Semoga kedepannya lebih baik lagi,0,0
seru,0,0
menjadi lebih baik lagi,0,0
baik,0,0
lebih baik dalam pelayanannya,0,0
sudah baik,0,0
baik,0,0
cukup,1,1
Lebih baik lagi,0,0
pertahankan dan dimaksimalkan lagi,0,0
bagus,0,0
Baik,0,0
Tidak ada,1,1
masih kurang,0,0
Sudah cukup baik,0,0
Bagus,0,0
-,0,0
Selalu memberikan informasi yang tepat,0,0
uaiu,1,1
sosialisasinya kurang jadi banyak yang tidak bergabung,0,1
menurut saya sudah sangat baik hanya tolong di pertahankan`,1,1
Baik,1,1
.................................,0,0
:),0,0
kembangkan,1,1
Tidak ada,0,0
10,0,0
Sudah Baik..,1,0
Standar Internasional harus dipertahankan di Learning Center agar diterima oleh orang luar negeri seluruh dunia,0,0
sudah bagus.. pertahankan,0,0
lebih ditingkatkan lagi,1,1
lebih banyak memberikan informasi tentang layanan pusat bahasa,0,0
perlu diperbaiki,1,1
Perbaiki lagi,0,0
BAGUS,0,0
sudah cukup bagus,0,0
perbaiki apabila kerusakan,0,0
bagus,0,0
cukup,0,0
di perluas lahan nya,1,1
sudah cukup bagus,0,0
sudah sangat membantu dan baik sekali,0,0
Harus lebih baik lagi,0,0
sudah bagus,0,0
semoga lebih mudah dan dipahami oleh mahasiswa,0,0
sudah baik,0,0
Lumayan,1,1
tetap menjadi yg terbaik,0,0
supaya jadi lebih baik,0,0
dapat membantu dalam pengembangan bahasa,0,0
sudah baik,0,0
lbih ditingkatkan lagi,1,1
sudah sangat baik dalam layanan pusat bahasa,1,1
Sudah baik tingkatkan...,1,1
Cukup,0,0
nice,0,0
-,0,0
menurut saya masih baik.,0,0
gak adaga pernah kepusat baahasa,0,0
sudah baik,0,0
-,0,0
-,1,1
z,0,0
tingkatkan,0,0
lebih baik lagi,0,1
Memperjelas kegunaan dan fungsi setiap ruangan atau pembelajaran,1,1
Tidak ada,0,1
puas,0,0
Cukup baik,1,1
Tidak adaa,0,0
pertahankan,0,0
blank,0,0
-,0,0
tingkatkan lagi,0,0
-,0,0
cukup baik,0,0
"Perihal untuk one day service, mohon hasilnya tidak ditunda karena sama halnya dengan namanya 'one day' jadi disarankan untuk tetap sesuai dengan tanggal yg dijanjikan hasilnya",0,0
lebih baik lagi dari sebelumnya,0,0
tingkatkan lagi pelayanannya,0,0
udah bagus lanjutkan!!,0,0
ditingkatkan kembali,0,0
Iya udah gitu aja,1,1
-,0,1
Sudah Baik,1,1
"Sudah baik, smg lbh baik",0,0
be a good services,0,1
-,1,1
Sudah bagus,0,1
baik,0,0
baik,0,0
Tidak ada,0,0
gak ada,0,0
msju lah telkom universitty,0,0
lebih di tingkatkan,0,0
Harga diturunkan agar lebih terjangkau,0,0
lebih baik lagi,0,1
Hehe,0,0
Saya harap informasi layanan pusat bahasa bisa lebih baik.,0,0
mudah-mudahan lebih baik lagi,1,1
Sebaiknya nilai bahasa inggris jangan dicampuri dengan kegiatan kita d pusat bahasa. karena banyak tidaknya kegiatan kita d pusat bahasa berpengaruh pada program yang kita ambil d pusat bahasz. dan semakin banyak maka akan memakan banyak biaya.,0,0
GOOD JOB:),0,0
sudah sangat bagus,0,1
memberikan sistem pengajaran bahasa lebih baik lagi,1,1
memberikan pelayanan yang baik,0,0
Layanan Pusat Bahasa sudah sangat baik.,0,0
Tidak ada,0,0
kuat,0,0
mudahkan dalam layanan,0,0
Bagus,0,0
"saya anak FIK, saat ingin ECCT pertama kali harus suruh bayar. itu sangat tidak adil karena berbeda dengan fakultas-fakultas yang lainnya.",0,0
Lebih ditingkatkan lagi.,0,0
mengajarkan lebih banyak lagi bahasa,0,1
"Untuk layanan pusat bahasa sudah cukup bagus, pertahankan",0,0
sebaiknya harganya dikurangkan heheeee,0,0
untuk Layanan Pusat Bahasa penanda tempat administrasi harus lebih jelas,0,0
Tidak tahu,0,0
terbaik,0,1
-,0,0
Pertahankan,0,0
b ajalah,0,0
tidak ada,1,1
semoga semakin bagus,0,0
pelayanan sudah baik,1,0
Sudah baik namun untuk jadwal kursus apa bisa disesuaikan dengan milik mahasiswa?,0,0
semoga bisa meningkatkan layanan dan bisa memberikan yang terbaik untuk mahasiswa Tel-U,0,0
.,1,1
tidak ada,0,0
cukup baik,1,1
saran saya agar ada guru bahasa inggris orang asing,0,0
-,1,1
sudah baik jauh lebih baik dan tertata dari tahun sebelumnya,1,1
Baik Sekali,0,0
lebih ditingkatkan,0,0
cukup baik,0,0
dilengkapi fasilitas agar mahasiswa nyaman,0,0
no comment,1,1
Sangat kreatif,0,0
Lebih banyak informasi atau pengumuman agar mahasiswa tidak mendapat kesulitan dalam mengurus berbagai hal,0,0
Sudah baik,0,1
Lebih ditingkatkan,1,1
Sudah bagus,0,0
Tingkatkan,0,0
lebih di tingkatkan lagi,0,0
Sudah baik dan meningkat.,1,1
dsfsd,1,1
Sudah baik,0,0
yahut,0,0
tidak usah dikomersialkan,0,0
cukup baik,0,0
ok,1,1
orang-orangnya di tambah lagi biar pelayanannya bisa semakin cepat dan nyaman.,0,0
terus dikembangkan lebih baik lagi,0,0
cukup bagus,0,0
"secara keseluruhan sudah baik, semoga kedepannya dapat menjadi lebih baik lagi dan menjadi yang terbaik. semangat!",0,0
ok,0,0
